date,AZN,isPartial
2014-07-28,51,False
2014-07-29,80,False
2014-07-30,62,False
2014-07-31,76,False
2014-08-01,89,False
2014-08-02,60,False
2014-08-03,46,False
2014-08-04,58,False
2014-08-05,100,False
2014-08-06,89,False
2014-08-07,55,False
2014-08-08,57,False
2014-08-09,59,False
2014-08-10,57,False
2014-08-11,57,False
2014-08-12,62,False
2014-08-13,61,False
2014-08-14,55,False
2014-08-15,63,False
2014-08-16,55,False
2014-08-17,56,False
2014-08-18,59,False
2014-08-19,67,False
2014-08-20,61,False
2014-08-21,66,False
2014-08-22,75,False
2014-08-23,66,False
2014-08-24,72,False
2014-08-25,69,False
2014-08-26,62,False
2014-08-27,76,False
2014-08-28,44,False
2014-08-29,62,False
2014-08-30,50,False
2014-08-31,51,False
2014-09-01,47,False
2014-09-02,70,False
2014-09-03,49,False
2014-09-04,85,False
2014-09-05,70,False
2014-09-06,66,False
2014-09-07,54,False
2014-09-08,50,False
2014-09-09,47,False
2014-09-10,63,False
2014-09-11,64,False
2014-09-12,67,False
2014-09-13,55,False
2014-09-14,63,False
2014-09-15,63,False
2014-09-16,67,False
2014-09-17,49,False
2014-09-18,63,False
2014-09-19,56,False
2014-09-20,47,False
2014-09-21,45,False
2014-09-22,61,False
2014-09-23,71,False
2014-09-24,56,False
2014-09-25,60,False
2014-09-26,68,False
2014-09-27,48,False
2014-09-28,28,False
2014-09-29,68,False
2014-09-30,52,False
2014-10-01,49,False
2014-10-02,50,False
2014-10-03,54,False
2014-10-04,49,False
2014-10-05,62,False
2014-10-06,56,False
2014-10-07,64,False
2014-10-08,45,False
2014-10-09,53,False
2014-10-10,65,False
2014-10-11,57,False
2014-10-12,75,False
2014-10-13,66,False
2014-10-14,56,False
2014-10-15,50,False
2014-10-16,67,False
2014-10-17,68,False
2014-10-18,42,False
2014-10-19,53,False
2014-10-20,42,False
2014-10-21,63,False
2014-10-22,71,False
2014-10-23,51,False
2014-10-24,62,False
2014-10-25,56,False
2014-10-26,49,False
2014-10-27,69,False
2014-10-28,56,False
2014-10-29,77,False
2014-10-30,49,False
2014-10-31,60,False
2014-11-01,57,False
2014-11-02,63,False
2014-11-03,59,False
2014-11-04,74,False
2014-11-05,66,False
2014-11-06,74,False
2014-11-07,56,False
2014-11-08,70,False
2014-11-09,60,False
2014-11-10,67,False
2014-11-11,54,False
2014-11-12,68,False
2014-11-13,63,False
2014-11-14,62,False
2014-11-15,49,False
2014-11-16,52,False
2014-11-17,66,False
2014-11-18,83,False
2014-11-19,73,False
2014-11-20,53,False
2014-11-21,50,False
2014-11-22,61,False
2014-11-23,76,False
2014-11-24,60,False
2014-11-25,57,False
2014-11-26,73,False
2014-11-27,44,False
2014-11-28,43,False
2014-11-29,54,False
2014-11-30,42,False
2014-12-01,70,False
2014-12-02,65,False
2014-12-03,58,False
2014-12-04,68,False
2014-12-05,58,False
2014-12-06,59,False
2014-12-07,49,False
2014-12-08,71,False
2014-12-09,49,False
