date,ON,isPartial
2012-04-20,81,False
2012-04-21,85,False
2012-04-22,94,False
2012-04-23,88,False
2012-04-24,93,False
2012-04-25,87,False
2012-04-26,88,False
2012-04-27,82,False
2012-04-28,91,False
2012-04-29,93,False
2012-04-30,95,False
2012-05-01,95,False
2012-05-02,89,False
2012-05-03,85,False
2012-05-04,85,False
2012-05-05,89,False
2012-05-06,93,False
2012-05-07,90,False
2012-05-08,92,False
2012-05-09,93,False
2012-05-10,90,False
2012-05-11,85,False
2012-05-12,86,False
2012-05-13,91,False
2012-05-14,87,False
2012-05-15,92,False
2012-05-16,89,False
2012-05-17,90,False
2012-05-18,88,False
2012-05-19,92,False
2012-05-20,94,False
2012-05-21,90,False
2012-05-22,92,False
2012-05-23,90,False
2012-05-24,89,False
2012-05-25,85,False
2012-05-26,87,False
2012-05-27,90,False
2012-05-28,92,False
2012-05-29,87,False
2012-05-30,89,False
2012-05-31,86,False
2012-06-01,88,False
2012-06-02,90,False
2012-06-03,93,False
2012-06-04,91,False
2012-06-05,88,False
2012-06-06,89,False
2012-06-07,90,False
2012-06-08,87,False
2012-06-09,92,False
2012-06-10,91,False
2012-06-11,90,False
2012-06-12,90,False
2012-06-13,91,False
2012-06-14,86,False
2012-06-15,89,False
2012-06-16,92,False
2012-06-17,97,False
2012-06-18,86,False
2012-06-19,90,False
2012-06-20,83,False
2012-06-21,90,False
2012-06-22,94,False
2012-06-23,90,False
2012-06-24,95,False
2012-06-25,89,False
2012-06-26,90,False
2012-06-27,90,False
2012-06-28,94,False
2012-06-29,86,False
2012-06-30,94,False
2012-07-01,83,False
2012-07-02,77,False
2012-07-03,77,False
2012-07-04,79,False
2012-07-05,74,False
2012-07-06,75,False
2012-07-07,80,False
2012-07-08,78,False
2012-07-09,77,False
2012-07-10,75,False
2012-07-11,75,False
2012-07-12,77,False
2012-07-13,70,False
2012-07-14,77,False
2012-07-15,81,False
2012-07-16,78,False
2012-07-17,78,False
2012-07-18,76,False
2012-07-19,78,False
2012-07-20,75,False
2012-07-21,79,False
2012-07-22,83,False
2012-07-23,76,False
2012-07-24,79,False
2012-07-25,77,False
2012-07-26,79,False
2012-07-27,80,False
2012-07-28,79,False
2012-07-29,82,False
2012-07-30,77,False
2012-07-31,76,False
2012-08-01,78,False
2012-08-02,74,False
2012-08-03,75,False
2012-08-04,79,False
2012-08-05,81,False
2012-08-06,78,False
2012-08-07,77,False
2012-08-08,76,False
2012-08-09,76,False
2012-08-10,80,False
2012-08-11,82,False
2012-08-12,86,False
2012-08-13,76,False
2012-08-14,75,False
2012-08-15,78,False
2012-08-16,76,False
2012-08-17,75,False
2012-08-18,83,False
2012-08-19,85,False
2012-08-20,76,False
2012-08-21,81,False
2012-08-22,75,False
2012-08-23,77,False
2012-08-24,76,False
2012-08-25,77,False
2012-08-26,79,False
2012-08-27,78,False
2012-08-28,77,False
2012-08-29,80,False
2012-08-30,76,False
2012-08-31,73,False
2012-09-01,82,False
2012-09-02,81,False
2012-09-03,79,False
2012-09-04,75,False
2012-09-05,76,False
2012-09-06,76,False
2012-09-07,78,False
