date,SIRI,isPartial
2021-01-27,84,False
2021-01-28,89,False
2021-01-29,88,False
2021-01-30,96,False
2021-01-31,88,False
2021-02-01,79,False
2021-02-02,81,False
2021-02-03,92,False
2021-02-04,79,False
2021-02-05,84,False
2021-02-06,91,False
2021-02-07,87,False
2021-02-08,77,False
2021-02-09,84,False
2021-02-10,79,False
2021-02-11,79,False
2021-02-12,83,False
2021-02-13,89,False
2021-02-14,81,False
2021-02-15,77,False
2021-02-16,78,False
2021-02-17,74,False
2021-02-18,80,False
2021-02-19,80,False
2021-02-20,90,False
2021-02-21,100,False
2021-02-22,80,False
2021-02-23,83,False
2021-02-24,80,False
2021-02-25,79,False
2021-02-26,83,False
2021-02-27,94,False
2021-02-28,84,False
2021-03-01,79,False
2021-03-02,83,False
2021-03-03,77,False
2021-03-04,76,False
2021-03-05,77,False
2021-03-06,85,False
2021-03-07,99,False
2021-03-08,97,False
2021-03-09,82,False
2021-03-10,77,False
2021-03-11,73,False
2021-03-12,76,False
2021-03-13,85,False
2021-03-14,86,False
2021-03-15,73,False
2021-03-16,75,False
2021-03-17,80,False
2021-03-18,84,False
2021-03-19,82,False
2021-03-20,85,False
2021-03-21,93,False
2021-03-22,75,False
2021-03-23,80,False
2021-03-24,81,False
2021-03-25,75,False
2021-03-26,94,False
2021-03-27,88,False
2021-03-28,83,False
2021-03-29,77,False
2021-03-30,72,False
2021-03-31,66,False
2021-04-01,84,False
2021-04-02,86,False
2021-04-03,84,False
2021-04-04,81,False
2021-04-05,81,False
2021-04-06,78,False
2021-04-07,79,False
2021-04-08,68,False
2021-04-09,77,False
2021-04-10,84,False
2021-04-11,87,False
2021-04-12,75,False
2021-04-13,69,False
2021-04-14,77,False
2021-04-15,71,False
2021-04-16,76,False
2021-04-17,84,False
2021-04-18,81,False
2021-04-19,73,False
2021-04-20,74,False
2021-04-21,76,False
2021-04-22,79,False
2021-04-23,77,False
2021-04-24,83,False
2021-04-25,87,False
2021-04-26,68,False
2021-04-27,79,False
2021-04-28,79,False
2021-04-29,79,False
2021-04-30,77,False
2021-05-01,83,False
2021-05-02,70,False
2021-05-03,77,False
2021-05-04,81,False
2021-05-05,73,False
2021-05-06,79,False
2021-05-07,79,False
2021-05-08,85,False
2021-05-09,84,False
2021-05-10,74,False
2021-05-11,77,False
2021-05-12,74,False
2021-05-13,84,False
2021-05-14,81,False
2021-05-15,85,False
2021-05-16,82,False
2021-05-17,76,False
2021-05-18,72,False
2021-05-19,72,False
2021-05-20,81,False
2021-05-21,77,False
2021-05-22,83,False
2021-05-23,84,False
2021-05-24,75,False
2021-05-25,78,False
2021-05-26,77,False
2021-05-27,77,False
2021-05-28,81,False
2021-05-29,87,False
2021-05-30,77,False
2021-05-31,75,False
2021-06-01,79,False
2021-06-02,82,False
2021-06-03,86,False
2021-06-04,86,False
2021-06-05,86,False
2021-06-06,77,False
2021-06-07,81,False
2021-06-08,87,False
2021-06-09,90,False
2021-06-10,76,False
2021-06-11,82,False
2021-06-12,86,False
2021-06-13,85,False
2021-06-14,81,False
2021-06-15,73,False
2021-06-16,75,False
2021-06-17,80,False
2021-06-18,73,False
2021-06-19,84,False
2021-06-20,82,False
2021-06-21,72,False
2021-06-22,78,False
2021-06-23,74,False
2021-06-24,79,False
2021-06-25,75,False
2021-06-26,90,False
2021-06-27,87,False
2021-06-28,74,False
2021-06-29,82,False
2021-06-30,75,False
2021-07-01,64,False
2021-07-02,62,False
2021-07-03,66,False
2021-07-04,71,False
2021-07-05,65,False
2021-07-06,58,False
2021-07-07,56,False
2021-07-08,66,False
2021-07-09,74,False
2021-07-10,72,False
2021-07-11,69,False
2021-07-12,65,False
2021-07-13,61,False
2021-07-14,62,False
2021-07-15,65,False
2021-07-16,77,False
2021-07-17,72,False
2021-07-18,68,False
2021-07-19,64,False
2021-07-20,65,False
2021-07-21,63,False
2021-07-22,70,False
2021-07-23,65,False
2021-07-24,70,False
