date,WBA,isPartial
2010-07-15,30,False
2010-07-16,28,False
2010-07-17,33,False
2010-07-18,26,False
2010-07-19,30,False
2010-07-20,28,False
2010-07-21,27,False
2010-07-22,23,False
2010-07-23,22,False
2010-07-24,26,False
2010-07-25,25,False
2010-07-26,31,False
2010-07-27,33,False
2010-07-28,32,False
2010-07-29,24,False
2010-07-30,31,False
2010-07-31,25,False
2010-08-01,29,False
2010-08-02,26,False
2010-08-03,28,False
2010-08-04,30,False
2010-08-05,24,False
2010-08-06,26,False
2010-08-07,31,False
2010-08-08,25,False
2010-08-09,36,False
2010-08-10,22,False
2010-08-11,25,False
2010-08-12,32,False
2010-08-13,43,False
2010-08-14,95,False
2010-08-15,52,False
2010-08-16,33,False
2010-08-17,30,False
2010-08-18,30,False
2010-08-19,24,False
2010-08-20,29,False
2010-08-21,42,False
2010-08-22,39,False
2010-08-23,34,False
2010-08-24,29,False
2010-08-25,33,False
2010-08-26,29,False
2010-08-27,33,False
2010-08-28,33,False
2010-08-29,100,False
2010-08-30,46,False
2010-08-31,43,False
2010-09-01,33,False
2010-09-02,29,False
2010-09-03,27,False
2010-09-04,30,False
2010-09-05,37,False
2010-09-06,19,False
2010-09-07,28,False
2010-09-08,26,False
2010-09-09,28,False
2010-09-10,32,False
2010-09-11,50,False
2010-09-12,41,False
2010-09-13,30,False
2010-09-14,25,False
2010-09-15,26,False
2010-09-16,27,False
2010-09-17,20,False
2010-09-18,54,False
2010-09-19,29,False
2010-09-20,31,False
2010-09-21,29,False
2010-09-22,53,False
2010-09-23,32,False
2010-09-24,34,False
2010-09-25,94,False
2010-09-26,55,False
2010-09-27,32,False
2010-09-28,27,False
2010-09-29,28,False
2010-09-30,19,False
2010-10-01,28,False
2010-10-02,46,False
2010-10-03,23,False
2010-10-04,26,False
2010-10-05,25,False
2010-10-06,24,False
2010-10-07,21,False
2010-10-08,17,False
2010-10-09,26,False
2010-10-10,20,False
2010-10-11,18,False
2010-10-12,23,False
2010-10-13,29,False
2010-10-14,25,False
2010-10-15,27,False
2010-10-16,96,False
2010-10-17,48,False
2010-10-18,46,False
2010-10-19,31,False
2010-10-20,30,False
2010-10-21,27,False
2010-10-22,38,False
2010-10-23,34,False
2010-10-24,38,False
2010-10-25,29,False
2010-10-26,34,False
2010-10-27,36,False
2010-10-28,25,False
2010-10-29,21,False
2010-10-30,37,False
2010-10-31,35,False
2010-11-01,65,False
2010-11-02,40,False
2010-11-03,22,False
2010-11-04,23,False
2010-11-05,28,False
2010-11-06,35,False
2010-11-07,60,False
2010-11-08,31,False
2010-11-09,27,False
2010-11-10,36,False
2010-11-11,34,False
2010-11-12,27,False
2010-11-13,50,False
2010-11-14,51,False
2010-11-15,32,False
2010-11-16,30,False
2010-11-17,27,False
2010-11-18,32,False
2010-11-19,31,False
2010-11-20,30,False
2010-11-21,47,False
2010-11-22,21,False
2010-11-23,25,False
2010-11-24,23,False
2010-11-25,22,False
2010-11-26,22,False
