date,HON,isPartial
2010-12-05,87,False
2010-12-06,69,False
2010-12-07,62,False
2010-12-08,71,False
2010-12-09,72,False
2010-12-10,75,False
2010-12-11,89,False
2010-12-12,82,False
2010-12-13,76,False
2010-12-14,93,False
2010-12-15,75,False
2010-12-16,79,False
2010-12-17,83,False
2010-12-18,84,False
2010-12-19,81,False
2010-12-20,73,False
2010-12-21,76,False
2010-12-22,77,False
2010-12-23,73,False
2010-12-24,78,False
2010-12-25,100,False
2010-12-26,88,False
2010-12-27,76,False
2010-12-28,72,False
2010-12-29,70,False
2010-12-30,82,False
2010-12-31,84,False
2011-01-01,64,False
2011-01-02,64,False
2011-01-03,54,False
2011-01-04,52,False
2011-01-05,52,False
2011-01-06,54,False
2011-01-07,57,False
2011-01-08,62,False
2011-01-09,61,False
2011-01-10,51,False
2011-01-11,50,False
2011-01-12,48,False
2011-01-13,50,False
2011-01-14,53,False
2011-01-15,67,False
2011-01-16,61,False
2011-01-17,48,False
2011-01-18,50,False
2011-01-19,51,False
2011-01-20,54,False
2011-01-21,53,False
2011-01-22,59,False
2011-01-23,55,False
2011-01-24,45,False
2011-01-25,48,False
2011-01-26,44,False
2011-01-27,46,False
2011-01-28,50,False
2011-01-29,56,False
2011-01-30,51,False
2011-01-31,42,False
2011-02-01,41,False
2011-02-02,39,False
2011-02-03,41,False
2011-02-04,50,False
2011-02-05,58,False
2011-02-06,57,False
2011-02-07,50,False
2011-02-08,51,False
2011-02-09,53,False
2011-02-10,53,False
2011-02-11,60,False
2011-02-12,71,False
2011-02-13,70,False
2011-02-14,54,False
2011-02-15,54,False
2011-02-16,58,False
2011-02-17,56,False
2011-02-18,63,False
2011-02-19,68,False
2011-02-20,68,False
2011-02-21,55,False
2011-02-22,57,False
2011-02-23,56,False
2011-02-24,61,False
2011-02-25,61,False
2011-02-26,69,False
2011-02-27,67,False
2011-02-28,53,False
2011-03-01,55,False
2011-03-02,53,False
2011-03-03,58,False
2011-03-04,58,False
2011-03-05,66,False
2011-03-06,65,False
2011-03-07,56,False
2011-03-08,54,False
2011-03-09,53,False
2011-03-10,58,False
2011-03-11,56,False
2011-03-12,65,False
2011-03-13,62,False
2011-03-14,50,False
2011-03-15,54,False
2011-03-16,52,False
2011-03-17,57,False
2011-03-18,59,False
2011-03-19,63,False
2011-03-20,63,False
2011-03-21,52,False
2011-03-22,54,False
2011-03-23,52,False
2011-03-24,56,False
2011-03-25,67,False
2011-03-26,68,False
2011-03-27,73,False
2011-03-28,57,False
2011-03-29,57,False
2011-03-30,54,False
2011-03-31,57,False
2011-04-01,62,False
2011-04-02,69,False
2011-04-03,68,False
2011-04-04,54,False
2011-04-05,55,False
2011-04-06,60,False
2011-04-07,59,False
2011-04-08,64,False
2011-04-09,73,False
2011-04-10,67,False
2011-04-11,62,False
2011-04-12,58,False
2011-04-13,56,False
2011-04-14,61,False
2011-04-15,64,False
2011-04-16,71,False
2011-04-17,67,False
2011-04-18,58,False
2011-04-19,62,False
2011-04-20,59,False
2011-04-21,61,False
2011-04-22,71,False
2011-04-23,76,False
2011-04-24,71,False
2011-04-25,63,False
2011-04-26,56,False
2011-04-27,60,False
2011-04-28,57,False
2011-04-29,59,False
2011-04-30,67,False
2011-05-01,68,False
2011-05-02,53,False
2011-05-03,57,False
2011-05-04,56,False
2011-05-05,63,False
2011-05-06,72,False
2011-05-07,98,False
2011-05-08,75,False
2011-05-09,58,False
2011-05-10,59,False
2011-05-11,63,False
2011-05-12,59,False
2011-05-13,78,False
2011-05-14,87,False
2011-05-15,80,False
2011-05-16,62,False
2011-05-17,65,False
2011-05-18,63,False
2011-05-19,65,False
2011-05-20,75,False
2011-05-21,94,False
2011-05-22,75,False
2011-05-23,68,False
2011-05-24,81,False
2011-05-25,86,False
2011-05-26,78,False
2011-05-27,72,False
2011-05-28,85,False
2011-05-29,75,False
2011-05-30,61,False
2011-05-31,65,False
2011-06-01,66,False
2011-06-02,69,False
2011-06-03,65,False
2011-06-04,100,False
2011-06-05,72,False
2011-06-06,64,False
2011-06-07,59,False
2011-06-08,61,False
2011-06-09,67,False
2011-06-10,73,False
2011-06-11,82,False
2011-06-12,71,False
2011-06-13,64,False
2011-06-14,63,False
2011-06-15,61,False
2011-06-16,61,False
2011-06-17,65,False
2011-06-18,79,False
2011-06-19,77,False
2011-06-20,60,False
